,ranking,domain,org_name,time_difference_in_seconds_float,crypto_algorithm,pub_key_len,pub_key_exp,sign_alg
0,ranking,domain,,,,,,
236,236,researchgate.net,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
237,237,issuu.com,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
238,238,wikimedia.org,Let's Encrypt,7775999.0,,256.0,,b'sha256WithRSAEncryption'
239,239,youtube-nocookie.com,,,,,,
240,240,msftconnecttest.com,,,,,,
241,241,b-cdn.net,Sectigo Limited,32227199.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
242,242,t-mobile.com,"Entrust, Inc.",31622400.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
243,243,launchdarkly.com,Let's Encrypt,7775999.0,,256.0,,b'sha256WithRSAEncryption'
244,244,jomodns.com,,,,,,
245,245,aliyuncs.com,GlobalSign nv-sa,13917832.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
246,246,android.com,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
247,247,mcafee.com,"McAfee, Inc.",31622399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
248,248,aol.com,DigiCert Inc,15292799.0,,256.0,,b'sha256WithRSAEncryption'
249,249,hubspot.com,Google Trust Services LLC,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
250,250,wp.com,Sectigo Limited,34300799.0,,256.0,,b'ecdsa-with-SHA256'
251,251,cdc.gov,"Entrust, Inc.",31622399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
252,252,hipages.com.au,Amazon,34127999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
253,253,dailymail.co.uk,DigiCert Inc,31708799.0,,256.0,,b'sha256WithRSAEncryption'
254,254,tinyurl.com,Google Trust Services LLC,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
255,255,comcast.com,,,,,,
256,256,azurefd.net,,,,,,
257,257,opendns.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
258,258,atomile.com,,,,,,
259,259,dnsmadeeasy.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
260,260,amazon.dev,,,,,,
261,261,dns.cn,,,,,,
262,262,sc-gw.com,,,,,,
263,263,booking.com,DigiCert Inc,29548799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
264,264,weebly.com,DigiCert Inc,32572799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
265,265,reuters.com,COMODO CA Limited,31622399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
266,266,appcenter.ms,"DigiCert, Inc.",15897599.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
267,267,safebrowsing.apple,,,,,,
268,268,harvard.edu,Certainly,2591999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
269,269,oracle.com,DigiCert Inc,8207999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
270,270,doi.org,Let's Encrypt,7775999.0,,256.0,,b'ecdsa-with-SHA384'
271,271,360yield.com,Amazon,34127999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
272,272,slideshare.net,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
273,273,canva.com,Google Trust Services LLC,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
274,274,rlcdn.com,,,,,,
275,275,sharethrough.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
276,276,3lift.com,Amazon,34127999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
277,277,media-amazon.com,,,,,,
278,278,espn.com,"Entrust, Inc.",31622399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
279,279,force.com,DigiCert Inc,31535999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
280,280,bidswitch.net,,,,,,
281,281,www.gov.uk,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
282,282,ibm.com,DigiCert Inc,31708799.0,,256.0,,b'sha256WithRSAEncryption'
283,283,adriver.ru,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
284,284,moatads.com,,,,,,
285,285,roku.com,DigiCert Inc,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
286,286,teamviewer.com,Sectigo Limited,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
287,287,nist.gov,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
288,288,media.net,Sectigo Limited,33609599.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
289,289,google.de,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
290,290,vungle.com,"Cloudflare, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
291,291,weibo.com,DigiCert Inc,32572799.0,,256.0,,b'sha256WithRSAEncryption'
292,292,wildberries.ru,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
293,293,google.co.uk,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
294,294,grammarly.com,Amazon,34214399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
295,295,indeed.com,Let's Encrypt,7775999.0,,256.0,,b'ecdsa-with-SHA384'
296,296,bloomberg.com,DigiCert Inc,34214399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
297,297,etsy.com,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
